p_cluster_0,p_cluster_1,p_cluster_2,p_cluster_3,p_cluster_4,p_cluster_5,document_id
5.987115785365949e-27,0.9944937661410568,0.005506151373685997,6.0356286878368764e-15,7.664387053157615e-08,5.8413805916456e-09,hnfq9sc7AvpUVq7FGESE
3.676781101562158e-18,1.5948722028561333e-05,0.011513485131829853,1.8107770770618462e-24,1.0682488251083104e-08,0.988470555463653,hxDnYS8sLJCYrIT9SnPx
7.302852518215004e-33,0.7767148956336904,0.22328510430882245,1.0151497862799674e-35,2.0579464683888653e-15,5.7484897783957874e-11,jeDwqA0WOXCGfFM0xS8X
6.907431129322256e-06,0.0049981152097895234,0.9949945747825835,1.4528040336137004e-37,1.9362314422738277e-11,4.0255713553091497e-07,jn2kmXVLgyBywIXPBIxz
2.3976447076513705e-18,7.645942100018496e-06,7.266897818463177e-05,0.9999190219612436,6.187324030219486e-12,6.631122844206269e-07,juis8wXZl7Xl69onZ2Hi
2.6102554100204744e-19,0.0002260268326702787,0.021494856346410674,5.184847315612108e-09,1.024710975885143e-15,0.97827911163607,kdHNRWY0cHZAkIb7Cvjz
3.451663731503197e-26,5.508615235472792e-06,0.008685190411626569,4.2518420932623485e-19,1.708835362433626e-19,0.9913093009731371,lpkfQm2qGFdqukUxUJnL
2.4939065142642255e-29,2.683269552494303e-07,0.9999997316730451,4.213675305492445e-62,6.917416528441442e-25,1.2831115306479571e-24,mVU7jwhOd28koHDx0eud
1.0601960270283971e-13,0.000822302543932018,0.9991749916451573,6.007363135787376e-41,4.2114340267762e-10,2.70538966189016e-06,npT6zeMt3h1EGHPBf4M1
1.5679531236406526e-29,1.5168445161941113e-07,0.9999998483155492,2.668718210885606e-62,4.206814915940173e-25,1.184439869861029e-24,o1wnBMhRwa7LXMnHe9q9
3.899243184745698e-32,6.2053520652212e-10,0.9999999993794653,1.696907766861241e-66,4.502455209048389e-32,1.2571801384805709e-26,o9jQQoDjJSjNQag5hQr5
9.733614562580229e-24,0.0017115538666556307,0.9982703012632267,3.181767725306147e-30,1.814487011715465e-05,1.6772177412361573e-16,r6rzzrcvT8kIQIGWITXB
0.9994541682942412,4.935048239036353e-10,0.0005458312079692063,6.261745781715267e-32,9.736295343575161e-20,4.2846652368259955e-12,r9XQyFscbt25HEwJl22T
1.3561156347458653e-21,0.001531960624237101,0.0007505613518936672,0.9977153617962766,1.2926667814603228e-09,2.1149349264655405e-06,sCb5nUPfCFOOjJcEICB9
4.0642545744764025e-23,0.00896005329418289,0.991039109945062,4.045336101017896e-27,2.7776764184710826e-08,8.089839900841344e-07,tW4YAIvujOVnAyWgFR5T
9.703979350333866e-22,0.4446430455423864,0.5543591667587959,1.3363309067384165e-19,2.2311201296642633e-07,0.0009975645868041724,udwZqedqnwA7ZTbsDBqT
9.379879332252784e-37,0.8572268593020753,0.14277257789462064,5.5357406694400776e-33,5.628002339702942e-07,3.069182846389632e-12,usR4GvUgusf3OEdoAppc
0.9992376200168614,8.120592733211915e-10,0.0007623791517857196,4.6061955627425014e-32,1.3247699616433877e-19,1.9293077821147417e-11,vP1yTeoCNhpr14rsgZ7T
0.892737006961112,3.858935836812886e-08,0.10726295405499792,8.007742554350506e-29,1.161553919072394e-18,3.945321880928302e-10,vWgsflYac968woREWg8R
1.62123940085499e-35,1.1087160478043622e-10,0.9999999998891287,1.764203028642335e-105,4.936581999664085e-29,2.9310897578473153e-22,vcIml1R7UhbBUSUdKKIS
4.617299217782773e-28,5.334017304710189e-05,0.9999466555751536,4.492322856554981e-51,2.3909357577641363e-19,4.251799025605607e-09,wObDUNescUvIfZD4cU9C
